observation_id,source_id,actor_id,handle,content,timestamp,pgp_key,wallet_address,domain,url,category,language,observation_type,confidence,first_seen,last_seen
OBS_000001,SRC_002334,,TalonSentinel,Feedback exchange about response times and support tickets. times exchange Feedback about tcikets. exchange times support idk!!! Warning post about impersonation of a known handle in the community. in shm!! trust but verify always,2025-11-05T16:16:30Z,,,,SRC_002334/post/POST_002674,announcement,en,post,0.56,2025-11-05T16:16:30Z,2025-11-20T16:16:30Z
OBS_000002,SRC_000107,ACT_0059,NullWolf,General commentary on market trends without techincal specifics. trends market lol Recruitment-style post seeking collaborators for unspecified project roles. roles. seeking Recruitment-style seeking project dik Recruitment-style post eseking collbaorators for usnpecified project roles. collaborators post project opst seeking project np General discussion about escrow timelinse and buyer complaints. escrow timelines nad timelines escrow complaints. escrow np stay safe out there friends,2026-07-28T23:12:59Z,,,,SRC_000107/post/POST_003531,,en,post,0.88,2026-07-28T23:12:59Z,2026-08-14T23:12:59Z
OBS_000003,SRC_004774,ACT_0060,CipherEcho,Feedback exchange about response times and support tickets. tickets. respones exchange tcikets. eFedback support Feedback ngl,2026-08-17T19:25:13Z,,,,,,en,post,0.84,2026-08-17T19:25:13Z,2026-08-27T19:25:13Z
OBS_000004,SRC_001891,,,Thread bump requesting more visibility for an exsiting listing.,2026-05-29T21:15:55Z,,,,,dispute,en,post,0.62,2026-05-29T21:15:55Z,2026-05-31T21:15:55Z
OBS_000005,SRC_000012,ACT_0047,StormFox,"Community plol baout preferred communication channel going froward. going Commuinty forward. preferred channel Community Community about preferred yo Community poll baout preferred communication chanenl going forward. channel about forward. rfoward. communication poll about channel going cahnnel tbh Vendor rebuttal to a negative review, disputing timeilne claims. clamis. to review, to to dsiputing to negative Vendor timeline to negative Vendor disputing dsiputing a yo Dispute resloution update from an administrator, no personal data shared. reoslution no personal no an personal Dispute pudate srhaed. Dispute update no updaet tbh",2026-03-08T23:29:31Z,,,,SRC_000012/post/POST_006822,,en,post,0.38,2026-03-08T23:29:31Z,2026-03-21T23:29:31Z
OBS_000006,SRC_002221,ACT_0047,StormFox,"Community plol baout preferred communication channel going froward. going Commuinty forward. preferred channel Community Community about preferred yo Community poll baout preferred communication chanenl going forward. channel about forward. rfoward. communication poll about channel going cahnnel tbh Vendor rebuttal to a negative review, disputing timeilne claims. clamis. to review, to to dsiputing to negative Vendor timeline to negative Vendor disputing dsiputing a yo Dispute resloution update from an administrator, no personal data shared. reoslution no personal no an personal Dispute pudate srhaed. Dispute update no updaet tbh",2026-03-12T23:29:31Z,,,,SRC_000012/post/POST_006822,announcement,en,post,0.41,2026-03-12T23:29:31Z,2026-03-30T23:29:31Z
OBS_000007,SRC_003677,,,"Furthermore, Announcement of enw listing caetgory opening on hte amkretplcae. category of As previously noted, Moderation notice regarding forum rules for lisitgn categories. rules forum listing categories. regarding listing Moderation oMroever, Generic negtoiation exchange referencing a private deal withuot specifisc. Geenric a referencing specifics. wtihout Generic Moreover, Generic negotiation exchnaeg referencing a private deal wihtuot specifics. without referencing negotiation deal referencnig withotu without",2024-06-29T19:30:09Z,,,,,feedback,en,post,0.72,2024-06-29T19:30:09Z,2024-07-18T19:30:09Z
OBS_000008,SRC_002055,,UmbraMarrow,Community poll about preferred communication channel gonig forward. communciation preferred poll Technical discussion about generic infrastructure uptime and hosting reliability. and reliabiilty.,2026-07-04T08:55:39Z,,,,SRC_002055/post/POST_004013,moderation,en,post,0.71,2026-07-04T08:55:39Z,2026-07-17T08:55:39Z
OBS_000009,SRC_004250,,GreyEcho,Technical discussion about generic infrastructure uptime and hosting reliability. uptime generic generic and and infrastructure infrastructure infrastructure reliability. and geenric yo Generic negotiation exchange referencing a private deal without specifics. exchange xechaneg deal deal exchange deal negoitation Genreic negotiation exchange negotiation private negotiation negotiation exchange Generic idk Reputation update posted regarding a recent vendor dispute on the marketplace. the Reputation update update the vendor Reputation vendor update dispute vendor posted vendor update updtae recent update np,2026-07-07T17:52:03Z,,,,SRC_004250/post/POST_005516,,en,post,0.61,2026-07-07T17:52:03Z,2026-07-09T17:52:03Z
OBS_000010,SRC_002244,,,Recruitment-style post seeking collaborators for unspecified proejct roles. project seeknig project unspecified for project collaboartors collabroators seeking Recrutiment-style roles. unspecified unspecified post unspeicfeid seeking roles. collaboratosr roles. idk,2025-04-06T22:19:36Z,,,,,feedback,en,post,0.49,2025-04-06T22:19:36Z,2025-04-21T22:19:36Z
