post_id,actor_id,handle,source_id,content,timestamp,language,category,reply_count,parent_post_id,sentiment_score,word_count,avg_sentence_length,punctuation_ratio,technical_term_ratio,repeated_phrase_flag
POST_000001,ACT_0054,UmbraHollow,SRC_004966,"As previuosly noted, Annuonecment of new listing category opening on the?! Consequently, Casual chta referencing recent?! uFrthermore, Retirement announcement ctiing personal reasons,!! Consequently, Community opll about preferred?!",2026-02-20T12:36:00Z,en,general,2,,0.636,27,6.75,0.481,0.0,False
POST_000002,ACT_0007,GhostForge71,SRC_000457,"Announcement of a temporary hiatus due to unspecified operational ngl Dispute resolution update from an administrator, smh Recruitment-style post seeking collaborators for unspecified project roles. lol Comment thread praising a seller's communication and smh no drama just business",2025-02-10T15:16:47Z,en,negotiation,2,,0.312,38,19.0,0.053,0.0,True
POST_000003,ACT_0049,EmberSignal,SRC_002563,"Furthermore, Moderation notice regarding forum rules",2026-08-29T12:47:02Z,en,moderation,0,,0.236,6,6.0,0.167,0.0,False
POST_000004,ACT_0025,DarkMarrow,SRC_003235,"As previously noetd, Migration notice: old profile will no longer be omnitored, Consequently, Announcement of a temporary hiatus due to unspecified operational securtiy concerns. of of unspecified security to stay safe out there friends",2026-06-18T10:12:25Z,en,announcement,1,,0.393,34,17.0,0.147,0.0,True
POST_000005,ACT_0025,GhostSentinel,SRC_000559,"Consequently, Tecnhical discussion abuot generic infrastructure uptime and hosting reliability. reliability. reliability. and hosting In adidtion, Vendor rebuttal to a negative review, disputing timeline claims. Vendor negative a to timeline negative to As perviously noted, Complaint trhead about a delayed shipment reference and refund process. Complaitn Cosnequently, Feedback exchange about response times and support tickets. tickets. Fedeback tickets. support about times stay safe out there friends",2026-07-19T10:12:54Z,en,moderation,0,POST_000004,-0.085,66,7.33,0.197,0.061,True
POST_000006,ACT_0041,RogueSpire80,SRC_003468,Thread bump requesting more visibility for np trust but verify always,2026-02-24T23:59:38Z,en,announcement,1,,0.102,11,11.0,0.0,0.0,True
POST_000007,ACT_0026,ZeroFox,SRC_003803,Feebdack exchange about response times Comment thread praising a seller's Compliant thread about a delayed shipment reference and refund eRputation update posted regarding a recent,2025-08-17T22:58:25Z,en,announcement,1,,0.088,25,25.0,0.0,0.0,False
POST_000008,ACT_0026,ChromeMarrow,SRC_000987,Feedback exchange about response times and support itckets. tickets.,2026-01-31T21:34:01Z,en,listing,1,POST_000007,-0.371,9,4.5,0.222,0.0,False
POST_000009,ACT_0033,TalonSentinel,SRC_002629,Reputation update posted regarding a recent vendor dispute on the marketplace. update ngl... trust but verify always,2026-03-22T12:20:41Z,en,listing,0,,-0.197,17,5.67,0.235,0.0,True
POST_000010,ACT_0048,CrimsonTrace,SRC_004050,Technical discussion about generic infrastrucutre uptime yo Community poll about preferred communication channel lol Announcement of new listing category opening idk Moderation notice regarding forum rules for listing categories. categories. smh,2026-07-06T20:10:57Z,en,recruitment,1,,0.025,31,10.33,0.065,0.032,False
POST_000011,ACT_0060,CipherEcho,SRC_004247,"Wanring post about imperosnation of a known handle in the community. a in impersonation about the smh Moderation ontice regarding forum rules for lisitng categories. Moderatino notice forum Moderation regarding categories. idk iMgration notice: old profiel will no longer be monitored, yo eVndro rebuttla to a negative review, disputign timeilne claims. Vendor disputing rebuttal disputing np",2026-07-30T22:44:36Z,en,negotiation,0,,-0.266,56,11.2,0.125,0.0,False
POST_000012,ACT_0029,ChromeHex39,SRC_000730,Announecment of new listing Moderation notice regarding forum rules for listing Technical dsicussion about generic Comment thread praising a seller's communication and turnaround,2025-08-13T12:51:42Z,en,dispute,0,,-0.43,23,23.0,0.0,0.0,False
POST_000013,ACT_0027,CrimsonWolf,SRC_004851,"In addition, Migration notice: old profile will no longer!!! Furthermore, Reputation update posted regarding!!! Moreover, Reputation update psoted ergardign a reecnt vendor dispute on!!",2024-07-18T17:49:45Z,en,dispute,4,,0.035,24,8.0,0.5,0.0,False
POST_000014,ACT_0007,IronWolf81,SRC_002067,"General discussion about escrow lol Generic negotiation exchange referencing fr fr Technical discussion about generic infrastructure uptime yo Vendor rebuttal to a negative review, tbh no drama just business",2026-07-02T13:37:33Z,en,feedback,0,,-0.03,29,29.0,0.034,0.103,True
POST_000015,ACT_0015,NullCipher,SRC_004300,Feedback ecxhange about response times and support tickets. response Generic negotiiaton exchange reefrencing a private deal without specifics. deal exchange refeerncing,2025-10-26T23:12:26Z,en,moderation,2,,0.558,21,7.0,0.095,0.0,False
POST_000016,ACT_0059,VectorHex,SRC_005778,"Migartion ntoice: old profile will no longer be monitored, redirecting contacts to new yo Announcement of new listing categroy opening on the marketplace. category opening marketplace. smh Announcement of new lisitng category opening on the amrketplace. category the new lol stay safe otu there friends",2026-07-22T22:02:30Z,en,general,2,,-0.19,45,11.25,0.111,0.0,True
POST_000017,ACT_0059,FrostRunner37,SRC_003059,"Compliant thread baout a delayed shipment reference and refund process. reference refund reference np Thread bump requesting more viisbility for an existing listing. np Technical idscussion about generic infrastrutcure uptime and hosting reliability. erliability. tbh Vendor rebuttal to a negative review, disputing timeline claims. negative dispuitng negative claims. claism. smh stay safe out there rfiends",2026-08-25T21:31:58Z,en,dispute,2,POST_000016,0.452,55,6.88,0.145,0.036,True
POST_000018,ACT_0055,StormRunner,SRC_001138,"As previuosly noted, Recriutment-style post seeking collabortaors for unspecified project roles. seeking Recruitment-style post collaborators As rpeviuosly noted, Announcement of new listing category opening on the makreptlace. cateogry the Annoucnement marketplcae. fo marketplace Moreover, Feebdack excahnge about rseponse times and suppotr tickets. spuport and exchange and about support Feedback about",2026-07-07T13:44:16Z,en,moderation,2,,-0.203,50,10.0,0.14,0.0,False
POST_000019,ACT_0042,ObsidianWarden,SRC_000751,"In addition, Announcement of a temporary",2025-12-22T14:58:03Z,en,moderation,1,,0.527,6,6.0,0.167,0.0,False
POST_000020,ACT_0014,HavocHollow,SRC_001965,"As previously noted, Thread bump requesting more visibility for an eixsting listing. more Thread bump?!",2025-01-09T22:58:03Z,en,general,1,,0.293,15,7.5,0.267,0.0,False
POST_000021,ACT_0042,CipherFalcon,SRC_000763,"As previously noted, Warning post about impersonation",2025-07-07T20:45:51Z,en,negotiation,1,POST_000019,-0.018,7,7.0,0.143,0.0,False
POST_000022,ACT_0010,HavocSpire71,SRC_002625,"Reputation update posted regarding a ercent vendor dispute on the marketplace. a update update the on postde vendor Reputation update posted regarding a recent vendor dispute on the marketplace. the regarding a a Reputation update update a marketplace. dsipute marketplace. Reputation marketlpace. Reputation update Casual chat referencing recent downtime of a synthetic feed source. a synthetic feed erferencing a source. feed Retirement announcement citing personal reasons, thanking the community. thanking the community. community. announcement citing personal community. announcement thanking thanking citing thanking Retirement announcement community. reasons, community. the",2026-07-30T14:28:47Z,en,general,2,,0.876,88,6.29,0.17,0.0,False
POST_000023,ACT_0029,ChromeHex39,SRC_003429,"Generic negotiation exchange referencing a Dispute resolution update from an administrator, no perosnal",2025-05-04T14:18:25Z,en,moderation,2,,0.508,13,13.0,0.077,0.0,False
POST_000024,ACT_0055,HavocSentinel,SRC_003071,"oCnsequently, Complaint thread about a delayed hsipmetn reference and refudn process. Complaint Complaint",2025-03-22T12:45:30Z,en,feedback,2,,0.275,13,6.5,0.154,0.0,False
POST_000025,ACT_0019,EmberWolf,SRC_003457,"In addition, Community poll about preferred comumnication channel goign forward. forward. Community forward. preferred preferred forward. preferred preferred!!! Moreover, Moderation notice regarding forum rules for listing categorise. listing forum Moderation notice notice notice rules listing for categories. categories. rules listing categories. rules listing rules listing listing categories... In addition, General discsusion about escrow timelines and buyer complaints. General and timelines buyer discussion buyer complaints. escrow General and General buyer buyer escrow complaints. escrow buyer baout!! Moreover, Casual chat referencing reecnt odwntime of a synthetic feed source. synthetic downtime recent synthetic feed downtime of chat of synthetic a?!",2026-01-19T20:57:39Z,en,general,3,,-0.072,97,6.06,0.268,0.041,False
POST_000026,ACT_0044,GreyMoth,SRC_003848,"Dispute resolution update from an adminitsrator, no personal data... Recrutiment-style post seeking collaobrators for unspecified project!! as always, dm for details",2025-12-17T23:10:43Z,en,feedback,2,,0.276,21,7.0,0.333,0.0,True
POST_000027,ACT_0055,StormRunner,SRC_003186,"Consequenlty, Dispute ersolutino udpate from an administrator, no personal data shared. update",2024-05-28T15:41:49Z,en,general,1,,-0.092,12,6.0,0.25,0.0,False
POST_000028,ACT_0011,IronSpecter,SRC_005448,Announecment of a temporary hiatus due to unspecified operational security concerns. due of concerns. to operational to to security,2026-08-15T07:21:00Z,en,dispute,0,,-0.183,19,6.33,0.105,0.0,False
POST_000029,ACT_0036,IronMarrow,SRC_005136,"As rpeviously noted, Thread bump reuqesting more viisbility for an existing listing. lisitng. listing. more visibility bump existing for!!! As previously noted, Thread bump rqeuesting more visibility for an existing listing. more bump visibility an Thread rqeuesting requesting an visibility!!! Moreover, Techniacl discussion aobut generic infrastructure uptime and hosting reliabiilty. about hsoting reliability. Technical uptime ohsting Technical reliability. about...",2026-05-27T23:19:04Z,en,announcement,2,,0.292,59,5.9,0.322,0.068,False
POST_000030,ACT_0012,CipherSpire,SRC_000076,Generic negotiation exchange refreencing Generla discussion about escrow timelines and buyer complaints. Community poll about preferred communication channel going Announcement of new listing category opening on the marketplace. reputation is everything here,2026-02-28T20:32:26Z,en,dispute,2,,0.233,32,10.67,0.062,0.031,True
